TAXON_NAME,START_DATE,PARENT_NAME,TRAINING,COMMENTS
Dioithona oculata f,2011-07-08 00:00:00,Oithona Grp5 (orange furcae) f,External training Dave McKinnon,
Cladoceran f,2010-03-24 00:00:00,Cladoceran,Internal training,
Cladoceran f gravid,2010-03-24 00:00:00,Cladoceran,Internal training,
Pleopis polyphemoides,2010-03-24 00:00:00,Cladoceran,,Not routinely identified
Lipmanella dictyoceras,2015-03-06 11:30:33,Radiozoa,,Not routinely identified
Oncaea clevei f,2010-09-23 00:00:00,Oncaea clevei complex f,External training Ruth Bottger Schnack,
Oncaea paraclevei f,2010-09-23 00:00:00,Oncaea clevei complex f,External training Ruth Bottger Schnack,
Plastic blue strand,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic red strand,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic yellow strand,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic green strand,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic clear strand,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic black strand,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic blue bead,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic red bead,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic yellow bead,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic green bead,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic clear bead,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic black bead,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic blue flake,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic red flake,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic yellow flake,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic green flake,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic clear flake,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic black flake,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Plastic other,2015-08-24 00:00:00,Plastic (NRS),,Plastic pieces to be counted from this data
Acrocalanus spp. i,2010-09-16 00:00:00,Acrocalanus spp. j,Internal training in intersexes by Felipe Gusmao,
Pilidium larvae,2008-09-29 00:00:00,Nematoda,,Not routinely identified
Cymbaloporetta spp.,2016-04-14 15:05:32,Foraminifera,,Not routinely identified
Lingula spp. larvae,2008-09-29 00:00:00,Brachiopoda,,Not routinely identified
Parvocalanus crassirostris i,2010-09-16 00:00:00,Parvocalanus spp. j,Internal training,
